country,year,life-expectancy
Iran,1960,44.9455122
Iraq,1960,48.03068293
Iceland,1960,73.42865854
Italy,1960,69.12390244
Jamaica,1960,64.30807317
Jordan,1960,52.68526829
Japan,1960,67.66609756
Kazakhstan,1960,58.36758537
Kenya,1960,46.36241463
Kyrgyz Republic,1960,56.12807317
Cambodia,1960,41.23202439
Kiribati,1960,49.21597561
Korea,1960,53.00131707
Kuwait,1960,60.40019512
Latin America & Caribbean (excluding high income),1960,55.65612236
Lao PDR,1960,43.20446342
Lebanon,1960,63.28012195
Liberia,1960,34.78317073
Libya,1960,42.64119512
St. Lucia,1960,57.3037561
Latin America & Caribbean,1960,56.04131107
Least developed countries: UN classification,1960,40.21962667
Low income,1960,39.06404006
Sri Lanka,1960,59.74714634
Lower middle income,1960,45.55620034
Low & middle income,1960,47.13895298
Lesotho,1960,46.51070732
Late-demographic dividend,1960,50.03379912
Lithuania,1960,69.84731707
Luxembourg,1960,68.44639024
Latvia,1960,69.78682927
Macao,1960,64.66092683
Morocco,1960,48.44663415
Moldova,1960,61.81278049
Madagascar,1960,39.97468293
Maldives,1960,37.26863415
Middle East & North Africa,1960,46.71827897
Mexico,1960,57.06563415
Middle income,1960,47.76300328
Macedonia,1960,60.62280488
Mali,1960,28.21160976
Malta,1960,67.60178049
Myanmar,1960,42.73639024
Middle East & North Africa (excluding high income),1960,46.65649506
Montenegro,1960,63.70560976
Mongolia,1960,48.36880488
Mozambique,1960,35.00370732
Mauritania,1960,43.48309756
Mauritius,1960,58.74521951
Malawi,1960,37.77363415
Malaysia,1960,59.47534146
North America,1960,69.89360376
Namibia,1960,46.88039024
New Caledonia,1960,58.63902439
Niger,1960,35.51504878
Nigeria,1960,37.18295122
Nicaragua,1960,46.99882927
Netherlands,1960,73.39268293
Norway,1960,73.5497561
Nepal,1960,35.17082927
New Zealand,1960,71.23658537
OECD members,1960,67.35254794
Oman,1960,42.66707317
Other small states,1960,51.33497892
Pakistan,1960,45.29046342
Panama,1960,60.88170732
Peru,1960,47.69158537
Philippines,1960,57.81192683
Papua New Guinea,1960,38.4622439
Poland,1960,67.68048781
Pre-demographic dividend,1960,38.83377419
Puerto Rico,1960,68.71960976
People's Democratic Republic of Korea,1960,51.07717073
Portugal,1960,62.80892683
Paraguay,1960,63.79370732
Pacific island small states,1960,53.67002941
Post-demographic dividend,1960,68.72914066
French Polynesia,1960,56.35704878
Qatar,1960,61.20607317
Romania,1960,65.64243902
Russian Federation,1960,66.05529268
Rwanda,1960,42.24929268
South Asia,1960,41.9605969
Saudi Arabia,1960,45.66626829
Sudan,1960,48.18763415
Senegal,1960,38.206
Singapore,1960,65.65982927
Solomon Islands,1960,49.38170732
Sierra Leone,1960,30.33153659
El Salvador,1960,49.94792683
Somalia,1960,36.96587805
Sub-Saharan Africa (excluding high income),1960,40.15515195
South Sudan,1960,31.67670732
Sub-Saharan Africa,1960,40.15515195
Small states,1960,54.66510768
Sao Tome and Principe,1960,50.45136585
Suriname,1960,59.68012195
Slovak Republic,1960,69.97592683
Slovenia,1960,68.97804878
Sweden,1960,73.00560976
Swaziland,1960,44.23378049
Syrian Arab Republic,1960,52.7682439
Chad,1960,38.01612195
East Asia & Pacific (IDA & IBRD countries),1960,45.39513213
Europe & Central Asia (IDA & IBRD countries),1960,63.82827948
Togo,1960,40.27282927
Thailand,1960,54.69931707
Tajikistan,1960,56.15353659
Turkmenistan,1960,54.45868293
Latin America & the Caribbean (IDA & IBRD countries),1960,55.61976581
Timor-Leste,1960,33.73712195
Middle East & North Africa (IDA & IBRD countries),1960,46.65649506
Tonga,1960,61.36453659
South Asia (IDA & IBRD),1960,41.9605969
Sub-Saharan Africa (IDA & IBRD countries),1960,40.15515195
Trinidad and Tobago,1960,62.65758537
Tunisia,1960,42.0097561
Turkey,1960,45.38441463
Tanzania,1960,43.65387805
Uganda,1960,43.98356098
Ukraine,1960,68.29953659
Upper middle income,1960,49.57484771
Uruguay,1960,67.89639024
United States,1960,69.77073171
Uzbekistan,1960,58.88553659
St. Vincent and the Grenadines,1960,57.72387805
Venezuela,1960,59.28512195
Virgin Islands (U.S.),1960,63.73021951
Vietnam,1960,59.06702439
Vanuatu,1960,46.48748781
World,1960,52.47476381
Samoa,1960,49.9695122
Yemen,1960,34.36380488
South Africa,1960,49.03629268
Zambia,1960,45.10980488
Zimbabwe,1960,51.54246342
Aruba,1961,65.98802439
Afghanistan,1961,32.77743902
Angola,1961,33.38621951
Albania,1961,63.27346342
Arab World,1961,47.43244762
United Arab Emirates,1961,53.28656098
Argentina,1961,65.3385122
Armenia,1961,66.28439024
Antigua and Barbuda,1961,62.19541463
Australia,1961,70.97317073
Austria,1961,69.57731707
Azerbaijan,1961,61.23917073
Burundi,1961,41.54546342
Belgium,1961,70.52097561
Benin,1961,37.73119512
Burkina Faso,1961,34.93863415
Bangladesh,1961,46.45792683
Bulgaria,1961,70.19560976
Bahrain,1961,53.4585122
Bahamas,1961,63.0725122
Bosnia and Herzegovina,1961,60.94158537
Belarus,1961,68.21265854
Belize,1961,60.51278049
Bolivia,1961,42.43343902
Brazil,1961,54.71870732
Barbados,1961,61.21509756
Brunei Darussalam,1961,63.04895122
Bhutan,1961,32.73102439
Botswana,1961,50.90763415
Central African Republic,1961,36.89570732
Canada,1961,71.34609756
Central Europe and the Baltics,1961,68.26374839
Switzerland,1961,71.64487805
Channel Islands,1961,70.73441463
Chile,1961,57.98634146
China,1961,43.67334146
Cote d'Ivoire,1961,37.56307317
Cameroon,1961,41.96534146
Democratic Republic of the Congo,1961,41.23353659
Republic of the Congo,1961,49.23004878
Colombia,1961,57.24773171
Comoros,1961,41.83953659
Cabo Verde,1961,49.04597561
Costa Rica,1961,61.28856098
Caribbean small states,1961,62.81045247
Cuba,1961,64.51643902
Cyprus,1961,69.92782927
Czech Republic,1961,70.51268293
Germany,1961,69.50995122
Djibouti,1961,44.45134146
Denmark,1961,72.43829268
Dominican Republic,1961,52.5782439
Algeria,1961,46.59031707
East Asia & Pacific (excluding high income),1961,45.90903432
Early-demographic dividend,1961,45.81514519
East Asia & Pacific,1961,48.7578238
Europe & Central Asia (excluding high income),1961,63.92897602
Europe & Central Asia,1961,67.39925058
Ecuador,1961,53.82029268
Egypt,1961,48.58158537
Euro area,1961,69.64436515
Eritrea,1961,37.59887805
Spain,1961,69.48048781
Estonia,1961,68.36285366
Ethiopia,1961,39.06914634
European Union,1961,69.58937012
Fragile and conflict affected situations,1961,41.11788536
Finland,1961,68.84414634
Fiji,1961,56.39273171
France,1961,70.11707317
Micronesia,1961,57.98558537
Gabon,1961,39.92804878
United Kingdom,1961,70.87804878
Georgia,1961,63.83185366
Guinea,1961,35.08112195
Gambia,1961,32.32563415
Guinea-Bissau,1961,38.14329268
Equatorial Guinea,1961,37.03248781
Greece,1961,68.54863415
Grenada,1961,60.2495122
Guatemala,1961,46.10395122
Guam,1961,61.72529268
Guyana,1961,60.46209756
High income,1961,68.88540339
Hong Kong,1961,67.57936585
Honduras,1961,46.96387805
Heavily indebted poor countries (HIPC),1961,39.99197388
Croatia,1961,65.0155122
Haiti,1961,42.68395122
Hungary,1961,68.93609756
IBRD only,1961,49.04726751
IDA & IBRD total,1961,47.94228342
IDA total,1961,42.4758522
IDA blend,1961,44.29720428
Indonesia,1961,49.26980488
IDA only,1961,41.6081744
India,1961,41.79048781
Ireland,1961,69.90412195
Iran,1961,45.50895122
Iraq,1961,49.23163415
Iceland,1961,73.50341463
Italy,1961,69.7602439
Jamaica,1961,64.87602439
Jordan,1961,53.4715122
Japan,1961,68.31
Kazakhstan,1961,58.78158537
Kenya,1961,47.013
Kyrgyz Republic,1961,56.56412195
Cambodia,1961,41.35768293
Kiribati,1961,49.74368293
Korea,1961,53.7362439
Kuwait,1961,61.14434146
Latin America & Caribbean (excluding high income),1961,56.15232081
Lao PDR,1961,43.50704878
Lebanon,1961,63.58597561
Liberia,1961,35.04626829
Libya,1961,44.24668293
St. Lucia,1961,58.06190244
Latin America & Caribbean,1961,56.52878199
Least developed countries: UN classification,1961,40.69314964
Low income,1961,39.46990662
Sri Lanka,1961,60.12680488
Lower middle income,1961,46.15105881
Low & middle income,1961,47.65970802
Lesotho,1961,46.99473171
Late-demographic dividend,1961,50.53394054
Lithuania,1961,70.10268293
Luxembourg,1961,68.73773171
Latvia,1961,70.03243902
Macao,1961,65.14309756
Morocco,1961,48.86412195
Moldova,1961,62.17668293
Madagascar,1961,40.4572439
Maldives,1961,37.85934146
Middle East & North Africa,1961,47.80395238
Mexico,1961,57.65614634
Middle income,1961,48.29747156
Macedonia,1961,61.24939024
Mali,1961,28.35873171
Malta,1961,67.90270732
Myanmar,1961,43.40253659
Middle East & North Africa (excluding high income),1961,47.24292045
Montenegro,1961,64.39178049
Mongolia,1961,49.27897561
Mozambique,1961,35.4667561
Mauritania,1961,44.16392683
Mauritius,1961,59.74836585
Malawi,1961,37.99814634
Malaysia,1961,60.05439024
North America,1961,70.36801738
Namibia,1961,47.49919512
New Caledonia,1961,59.03902439
Niger,1961,35.59426829
Nigeria,1961,37.63826829
Nicaragua,1961,47.64565854
Netherlands,1961,73.65268293
Norway,1961,73.55048781
Nepal,1961,35.53334146
New Zealand,1961,70.98536585
OECD members,1961,67.74927437
Oman,1961,43.49102439
Other small states,1961,51.78668022
Pakistan,1961,46.22321951
Panama,1961,61.3975122
Peru,1961,48.23292683
Philippines,1961,58.12226829
Papua New Guinea,1961,39.0595122
Poland,1961,67.77804878
Pre-demographic dividend,1961,39.28134119
Puerto Rico,1961,68.94265854
People's Democratic Republic of Korea,1961,51.4382439
Portugal,1961,63.25236585
Paraguay,1961,64.01826829
Pacific island small states,1961,54.14033353
Post-demographic dividend,1961,69.13537372
French Polynesia,1961,56.78463415
Qatar,1961,61.96780488
Romania,1961,66.41587805
Russian Federation,1961,66.59702439
Rwanda,1961,42.5487561
South Asia,1961,42.60003816
Saudi Arabia,1961,46.17439024
Sudan,1961,48.61153659
Senegal,1961,38.3632439
Singapore,1961,66.08719512
Solomon Islands,1961,49.88170732
Sierra Leone,1961,30.54043902
El Salvador,1961,50.61226829
Somalia,1961,37.36229268
Sub-Saharan Africa (excluding high income),1961,40.59692376
South Sudan,1961,32.10465854
Sub-Saharan Africa,1961,40.59692376
Small states,1961,55.13181553
Sao Tome and Principe,1961,51.03109756
Suriname,1961,60.047
Slovak Republic,1961,70.2877561
Slovenia,1961,68.97804878
Sweden,1961,73.47439024
Swaziland,1961,44.53187805
Syrian Arab Republic,1961,53.31256098
Chad,1961,38.27343902
East Asia & Pacific (IDA & IBRD countries),1961,45.83603463
Europe & Central Asia (IDA & IBRD countries),1961,64.30617912
Togo,1961,40.91648781
Thailand,1961,55.23273171
Tajikistan,1961,56.56260976
Turkmenistan,1961,54.87119512
Latin America & the Caribbean (IDA & IBRD countries),1961,56.10948913
Timor-Leste,1961,34.23756098
Middle East & North Africa (IDA & IBRD countries),1961,47.24292045
Tonga,1961,61.73270732
South Asia (IDA & IBRD),1961,42.60003816
Sub-Saharan Africa (IDA & IBRD countries),1961,40.59692376
Trinidad and Tobago,1961,63.2537561
Tunisia,1961,42.6455122
Turkey,1961,46.10448781
Tanzania,1961,43.90729268
Uganda,1961,44.56002439
Ukraine,1961,68.76385366
Upper middle income,1961,50.09266073
Uruguay,1961,68.11278049
United States,1961,70.27073171
Uzbekistan,1961,59.29753659
St. Vincent and the Grenadines,1961,58.80968293
Venezuela,1961,59.86256098
Virgin Islands (U.S.),1961,64.10156098
Vietnam,1961,59.74419512
Vanuatu,1961,47.08809756
World,1961,52.98085299
Samoa,1961,50.4695122
Yemen,1961,34.4732439
South Africa,1961,49.42980488
Zambia,1961,45.4875122
Zimbabwe,1961,51.91495122
Aruba,1962,66.36553659
Afghanistan,1962,33.21990244
Angola,1962,33.78758537
Albania,1962,64.16285366
Arab World,1962,48.01050235
United Arab Emirates,1962,54.327
Argentina,1962,65.43260976
Armenia,1962,66.70985366
Antigua and Barbuda,1962,62.59853659
Australia,1962,70.94243902
Austria,1962,69.3095122
Azerbaijan,1962,61.64458537
Burundi,1962,41.86039024
Belgium,1962,70.2195122
Benin,1962,38.18941463
Burkina Faso,1962,35.40587805
Bangladesh,1962,47.08397561
Bulgaria,1962,69.49195122
Bahrain,1962,54.81826829
Bahamas,1962,63.40802439
Bosnia and Herzegovina,1962,61.56797561
Belarus,1962,68.63582927
Belize,1962,61.07434146
Bolivia,1962,42.75704878
Brazil,1962,55.23565854
Barbados,1962,61.69617073
Brunei Darussalam,1962,63.57590244
Bhutan,1962,33.09414634
Botswana,1962,51.25502439
Central African Republic,1962,37.31878049
Canada,1962,71.36707317
Central Europe and the Baltics,1962,68.00779332
Switzerland,1962,71.19609756
Channel Islands,1962,70.83009756
Chile,1962,58.51539024
China,1962,44.39834146
Cote d'Ivoire,1962,38.23382927
Cameroon,1962,42.40595122
Democratic Republic of the Congo,1962,41.4515122
Republic of the Congo,1962,49.84395122
Colombia,1962,57.73921951
Comoros,1962,42.2377561
Cabo Verde,1962,49.3165122
Costa Rica,1962,61.98378049
Caribbean small states,1962,63.26694041
Cuba,1962,65.13821951
Cyprus,1962,70.2512439
Czech Republic,1962,69.78682927
Germany,1962,69.6925122
Djibouti,1962,44.87443902
Denmark,1962,72.3197561
Dominican Republic,1962,53.2992439
Algeria,1962,47.045
East Asia & Pacific (excluding high income),1962,46.620829
Early-demographic dividend,1962,46.4249091
East Asia & Pacific,1962,49.42487072
Europe & Central Asia (excluding high income),1962,64.32554078
Europe & Central Asia,1962,67.49330718
Ecuador,1962,54.38753659
Egypt,1962,49.1065122
Euro area,1962,69.60281546
Eritrea,1962,37.85158537
Spain,1962,69.51902439
Estonia,1962,68.74204878
Ethiopia,1962,39.69865854
European Union,1962,69.51456838
Fragile and conflict affected situations,1962,41.65387686
Finland,1962,68.57780488
Fiji,1962,56.81746342
France,1962,70.31463415
Micronesia,1962,58.38358537
Gabon,1962,40.374
United Kingdom,1962,70.92682927
Georgia,1962,64.23434146
Guinea,1962,35.26039024
Gambia,1962,32.66109756
Guinea-Bissau,1962,38.46721951
Equatorial Guinea,1962,37.33241463
Greece,1962,68.89226829
Grenada,1962,60.67009756
Guatemala,1962,46.68829268
Guam,1962,62.21919512
Guyana,1962,60.647
High income,1962,68.86596823
Hong Kong,1962,68.13009756
Honduras,1962,47.63295122
Heavily indebted poor countries (HIPC),1962,40.41536326
Croatia,1962,65.4082439
Haiti,1962,43.26380488
Hungary,1962,67.86585366
IBRD only,1962,49.64893265
IDA & IBRD total,1962,48.52699856
IDA total,1962,43.01694268
IDA blend,1962,44.94136865
Indonesia,1962,49.88580488
IDA only,1962,42.10039183
India,1962,42.41741463
Ireland,1962,70.08797561
Iran,1962,46.06580488
Iraq,1962,50.41836585
Iceland,1962,73.72195122
Italy,1962,69.1497561
Jamaica,1962,65.39663415
Jordan,1962,54.25131707
Japan,1962,68.59487805
Kazakhstan,1962,59.19907317
Kenya,1962,47.6522439
Kyrgyz Republic,1962,57.00265854
Cambodia,1962,41.51743902
Kiribati,1962,50.27429268
Korea,1962,54.48409756
Kuwait,1962,61.84848781
Latin America & Caribbean (excluding high income),1962,56.6296368
Lao PDR,1962,43.80865854
Lebanon,1962,63.88041463
Liberia,1962,35.35412195
Libya,1962,45.87119512
St. Lucia,1962,58.76334146
Latin America & Caribbean,1962,56.99805666
Least developed countries: UN classification,1962,41.17577204
Low income,1962,39.87252383
Sri Lanka,1962,60.51158537
Lower middle income,1962,46.7421229
Low & middle income,1962,48.2590035
Lesotho,1962,47.4022439
Late-demographic dividend,1962,51.17081751
Lithuania,1962,69.09536585
Luxembourg,1962,68.99812195
Latvia,1962,69.43048781
Macao,1962,65.61578049
Morocco,1962,49.28758537
Moldova,1962,62.54419512
Madagascar,1962,40.93780488
Maldives,1962,38.48356098
Middle East & North Africa,1962,48.39019135
Mexico,1962,58.1802439
Middle income,1962,48.91274529
Macedonia,1962,61.86046342
Mali,1962,28.54846342
Malta,1962,68.20478049
Myanmar,1962,44.15136585
Middle East & North Africa (excluding high income),1962,47.82606854
Montenegro,1962,65.06190244
Mongolia,1962,50.16004878
Mozambique,1962,35.91226829
Mauritania,1962,44.82521951
Mauritius,1962,60.62690244
Malawi,1962,38.21417073
Malaysia,1962,60.61668293
North America,1962,70.2327068
Namibia,1962,48.10109756
New Caledonia,1962,59.43902439
Niger,1962,35.66546342
Nigeria,1962,38.07907317
Nicaragua,1962,48.29587805
Netherlands,1962,73.32390244
Norway,1962,73.44804878
Nepal,1962,35.95229268
New Zealand,1962,71.23170732
OECD members,1962,67.75640655
Oman,1962,44.3005122
Other small states,1962,52.22616837
Pakistan,1962,47.11697561
Panama,1962,61.89636585
Peru,1962,48.75278049
Philippines,1962,58.42885366
Papua New Guinea,1962,39.71739024
Poland,1962,67.42682927
Pre-demographic dividend,1962,39.72404589
Puerto Rico,1962,69.14492683
People's Democratic Republic of Korea,1962,51.82531707
Portugal,1962,63.69414634
Paraguay,1962,64.22690244
Pacific island small states,1962,54.60786792
Post-demographic dividend,1962,69.14426622
French Polynesia,1962,57.17065854
Qatar,1962,62.73002439
Romania,1962,67.02907317
Russian Federation,1962,67.02141463
Rwanda,1962,42.83770732
South Asia,1962,43.24369037
Saudi Arabia,1962,46.6945122
Sudan,1962,49.02746342
Senegal,1962,38.446
Singapore,1962,66.4322439
Solomon Islands,1962,50.38170732
Sierra Leone,1962,30.75278049
El Salvador,1962,51.23868293
Somalia,1962,37.76121951
Sub-Saharan Africa (excluding high income),1962,41.02923867
South Sudan,1962,32.52912195
Sub-Saharan Africa,1962,41.02923867
Small states,1962,55.57834846
Sao Tome and Principe,1962,51.59729268
Suriname,1962,60.40843902
Slovak Republic,1962,70.49434146
Slovenia,1962,68.97804878
Sweden,1962,73.35048781
Swaziland,1962,44.81795122
Syrian Arab Republic,1962,53.86780488
Chad,1962,38.52885366
East Asia & Pacific (IDA & IBRD countries),1962,46.55179147
Europe & Central Asia (IDA & IBRD countries),1962,64.62838025
Togo,1962,41.55509756
Thailand,1962,55.74521951
Tajikistan,1962,56.97468293
Turkmenistan,1962,55.28719512
Latin America & the Caribbean (IDA & IBRD countries),1962,56.57932248
Timor-Leste,1962,34.73904878
Middle East & North Africa (IDA & IBRD countries),1962,47.82606854
Tonga,1962,62.09729268
South Asia (IDA & IBRD),1962,43.24369037
Sub-Saharan Africa (IDA & IBRD countries),1962,41.02923867
Trinidad and Tobago,1962,63.76019512
Tunisia,1962,43.34168293
Turkey,1962,46.83670732
Tanzania,1962,44.1622439
Uganda,1962,45.14704878
Ukraine,1962,69.14609756
Upper middle income,1962,50.74309843
Uruguay,1962,68.29663415
United States,1962,70.1195122
Uzbekistan,1962,59.71302439
St. Vincent and the Grenadines,1962,59.83921951
Venezuela,1962,60.43031707
Virgin Islands (U.S.),1962,64.46256098
Vietnam,1962,60.41053659
Vanuatu,1962,47.68819512
World,1962,53.40419563
Samoa,1962,50.9695122
Yemen,1962,34.73956098
South Africa,1962,49.81329268
Zambia,1962,45.85365854
Zimbabwe,1962,52.27790244
Aruba,1963,66.71397561
Afghanistan,1963,33.65787805
Angola,1963,34.18846342
Albania,1963,64.88709756
Arab World,1963,48.59124055
United Arab Emirates,1963,55.3635122
Argentina,1963,65.50939024
Armenia,1963,67.13785366
Antigua and Barbuda,1963,62.99258537
Australia,1963,70.91170732
Austria,1963,69.44365854
Azerbaijan,1963,62.052
Burundi,1963,42.17780488
Belgium,1963,70.05146342
Benin,1963,38.65734146
Burkina Faso,1963,35.87965854
Bangladesh,1963,47.69246342
Bulgaria,1963,70.30926829
Bahrain,1963,56.14658537
Bahamas,1963,63.73704878
Bosnia and Herzegovina,1963,62.16234146
Belarus,1963,68.99207317
Belize,1963,61.64604878
Bolivia,1963,43.08914634
Brazil,1963,55.75139024
Barbados,1963,62.18226829
Brunei Darussalam,1963,64.07619512
Bhutan,1963,33.45221951
Botswana,1963,51.59341463
Central African Republic,1963,37.76034146
Canada,1963,71.38073171
Central Europe and the Baltics,1963,68.69636848
Switzerland,1963,71.18756098
Channel Islands,1963,70.93331707
Chile,1963,59.04643902
China,1963,45.57887805
Cote d'Ivoire,1963,38.88017073
Cameroon,1963,42.84356098
Democratic Republic of the Congo,1963,41.678
Republic of the Congo,1963,50.41885366
Colombia,1963,58.2007561
Comoros,1963,42.635
Cabo Verde,1963,49.6805122
Costa Rica,1963,62.6497561
Caribbean small states,1963,63.67990855
Cuba,1963,65.76802439
Cyprus,1963,70.56468293
Czech Republic,1963,70.30439024
Germany,1963,69.86009756
Djibouti,1963,45.29104878
Denmark,1963,72.40048781
Dominican Republic,1963,54.00678049
Algeria,1963,47.49619512
East Asia & Pacific (excluding high income),1963,47.64019368
Early-demographic dividend,1963,46.97416034
East Asia & Pacific,1963,50.39470404
Europe & Central Asia (excluding high income),1963,64.69301261
Europe & Central Asia,1963,67.76322636
Ecuador,1963,54.91019512
Egypt,1963,49.60195122
Euro area,1963,69.77242603
Eritrea,1963,38.12312195
Spain,1963,69.68121951
Estonia,1963,69.05407317
Ethiopia,1963,40.27780488
European Union,1963,69.75930075
Fragile and conflict affected situations,1963,42.21769425
Finland,1963,69.01268293
Fiji,1963,57.23217073
France,1963,70.51463415
Micronesia,1963,58.78158537
Gabon,1963,40.92495122
United Kingdom,1963,70.82682927
Georgia,1963,64.63882927
Guinea,1963,35.42517073
Gambia,1963,33.06209756
Guinea-Bissau,1963,38.81370732
Equatorial Guinea,1963,37.63182927
Greece,1963,69.18570732
Grenada,1963,61.07668293
Guatemala,1963,47.28268293
Guam,1963,62.707
Guyana,1963,60.83090244
High income,1963,69.0815651
Hong Kong,1963,68.64343902
Honduras,1963,48.289
Heavily indebted poor countries (HIPC),1963,40.83045913
Croatia,1963,65.78787805
Haiti,1963,43.83619512
Hungary,1963,68.87414634
IBRD only,1963,50.3880924
IDA & IBRD total,1963,49.23014322
IDA total,1963,43.554928
IDA blend,1963,45.56222782
Indonesia,1963,50.48829268
IDA only,1963,42.59903144
India,1963,43.05273171
Ireland,1963,70.24980488
Iran,1963,46.61807317
Iraq,1963,51.58941463
Iceland,1963,73.04292683
Italy,1963,69.24804878
Jamaica,1963,65.87139024
Jordan,1963,55.02519512
Japan,1963,69.65804878
Kazakhstan,1963,59.61856098
Kenya,1963,48.2697561
Kyrgyz Republic,1963,57.44319512
Cambodia,1963,41.70278049
Kiribati,1963,50.79778049
Korea,1963,55.24590244
Kuwait,1963,62.51209756
Latin America & Caribbean (excluding high income),1963,57.08808811
Lao PDR,1963,44.10929268
Lebanon,1963,64.16441463
Liberia,1963,35.71521951
Libya,1963,47.45621951
St. Lucia,1963,59.39007317
Latin America & Caribbean,1963,57.44910609
Least developed countries: UN classification,1963,41.66636753
Low income,1963,40.28052519
Sri Lanka,1963,60.9205122
Lower middle income,1963,47.32732503
Low & middle income,1963,48.9628198
Lesotho,1963,47.7262439
Late-demographic dividend,1963,52.03497137
Lithuania,1963,70.20439024
Luxembourg,1963,69.22307317
Latvia,1963,69.82902439
Macao,1963,66.07746342
Morocco,1963,49.7147561
Moldova,1963,62.9142439
Madagascar,1963,41.41490244
Maldives,1963,39.1347561
Middle East & North Africa,1963,48.47938857
Mexico,1963,58.64290244
Middle income,1963,49.6365639
Macedonia,1963,62.4595122
Mali,1963,28.79639024
Malta,1963,68.50490244
Myanmar,1963,45.00390244
Middle East & North Africa (excluding high income),1963,48.41024496
Montenegro,1963,65.70290244
Mongolia,1963,50.98729268
Mozambique,1963,36.33878049
Mauritania,1963,45.46002439
Mauritius,1963,61.35765854
Malawi,1963,38.42170732
Malaysia,1963,61.16019512
North America,1963,70.05038739
Namibia,1963,48.68607317
New Caledonia,1963,59.88780488
Niger,1963,35.72963415
Nigeria,1963,38.49985366
Nicaragua,1963,48.9505122
Netherlands,1963,73.33707317
Norway,1963,73.07756098
Nepal,1963,36.42517073
New Zealand,1963,71.28048781
OECD members,1963,67.97672827
Oman,1963,45.09553659
Other small states,1963,52.62630212
Pakistan,1963,47.97073171
Panama,1963,62.37678049
Peru,1963,49.24865854
Philippines,1963,58.73260976
Papua New Guinea,1963,40.43787805
Poland,1963,68.37560976
Pre-demographic dividend,1963,40.16164756
Puerto Rico,1963,69.35497561
People's Democratic Republic of Korea,1963,52.34504878
Portugal,1963,64.13229268
Paraguay,1963,64.41104878
Pacific island small states,1963,55.07015758
Post-demographic dividend,1963,69.35750403
French Polynesia,1963,57.54607317
Qatar,1963,63.4922439
Romania,1963,67.44107317
Russian Federation,1963,67.33990244
Rwanda,1963,43.11312195
South Asia,1963,43.88669683
Saudi Arabia,1963,47.23614634
Sudan,1963,49.43792683
Senegal,1963,38.4632439
Singapore,1963,66.70080488
Solomon Islands,1963,50.88170732
